Driving_Time1234567,Driving_Time1234568,Driving_Time1234569,Driving_Time1234560,Driving_Time1234561,Driving_Time1234562,Driving_Time1234563,Driving_Time1234564,Driving_Time1234565,Driving_Time1234566
857,353,555,467,674,245,204,446,457,594
627,534,656,363,610,145,189,321,282,786
854,304,447,709,475,906,557,256,152,586
800,125,683,664,460,816,608,392,137,466
570,641,293,534,400,137,489,514,743,418
661,613,13,379,280,117,449,494,488,794
476,513,779,595,506,508,279,124,443,729
743,228,775,768,682,158,635,340,238,780
623,158,401,633,537,109,285,471,634,490
448,569,7,553,628,160,85,401,624,456
814,524,788,398,689,155,626,96,329,727
830,294,728,348,650,676,601,437,585,738
620,545,498,303,440,346,722,743,110,323
105,300,78,129,576,762,627,714,546,283
95,265,124,19,486,748,457,730,306,174
746,561,675,336,361,543,7,520,271,425
461,211,696,141,307,745,763,420,146,215
427,482,121,358,122,537,568,340,544,686
347,67,767,644,748,554,158,186,745,646
72,588,7,369,268,159,570,181,695,336
438,233,7,126,13,810,375,662,390,597
799,414,784,707,719,375,90,617,451,467
69,495,15,577,351,286,472,147,582,97
880,240,346,258,622,271,388,209,537,458
710,80,637,527,463,717,78,149,507,358
75,566,729,683,393,122,639,715,482,744
836,411,664,658,725,843,614,645,533,300
251,341,504,13,685,794,584,380,323,155
837,452,149,749,435,259,569,686,439,526
757,327,315,709,360,865,504,437,264,196
282,272,522,294,791,50,760,598,230,697
848,463,728,69,747,542,596,679,527,773
813,419,228,600,768,417,401,369,152,748
658,364,299,555,743,583,742,100,92,588
363,104,124,676,598,615,707,721,268,809
48,630,745,112,578,445,362,631,263,224
779,251,620,763,463,737,438,496,759,735
400,87,501,748,774,763,408,106,610,330
260,363,241,654,659,253,661,392,470,353
546,133,181,670,514,13,36,162,693,183
732,464,667,640,510,749,487,748,709,58
707,600,472,435,130,134,513,253,599,789
677,130,187,646,115,520,715,198,154,619
572,606,77,326,611,130,511,594,360,324
7,546,718,697,792,826,642,109,596,60
818,492,708,662,618,331,467,670,312,691
849,443,403,112,694,832,237,236,212,431
734,358,308,793,194,768,223,156,127,712
84,218,779,728,665,628,674,106,529,674
630,494,759,718,590,58,249,637,650,219
36,139,704,488,550,495,765,157,610,175
31,119,529,458,455,140,741,102,590,502
737,560,114,309,652,391,361,583,551,397
712,530,660,580,397,822,577,443,86,448
712,120,595,787,327,477,302,644,752,298
147,596,381,78,232,864,274,414,657,219
7,501,802,114,703,604,775,364,497,830
403,86,702,735,258,800,677,160,397,740
74,62,127,660,113,190,572,451,7,41
880,578,523,340,534,801,549,436,663,428
535,463,348,736,785,176,480,416,543,133
851,78,113,731,545,613,380,131,498,119
877,13,113,496,811,644,86,562,764,695
327,634,539,488,576,170,717,502,544,650
643,204,154,779,121,866,507,392,680,645
553,537,652,714,183,762,38,153,555,581
33,522,552,685,454,292,69,554,491,176
234,432,658,485,384,257,685,304,436,111
84,407,578,786,345,759,550,219,411,782
715,448,433,717,257,604,530,625,136,158
340,253,138,672,333,785,470,522,111,128
631,33,108,793,78,195,450,483,707,769
261,634,774,758,239,130,786,554,672,614
181,519,620,718,490,496,731,109,513,806
71,339,450,633,230,783,666,94,779,286
747,279,15,173,256,128,191,730,469,432
67,425,731,779,667,909,502,616,360,147
7,315,626,589,632,674,779,491,567,513
828,75,561,124,587,124,724,356,527,293
788,666,822,785,172,390,609,637,517,13
563,461,672,811,608,110,640,152,347,686
704,71,582,412,308,701,405,498,743,486
364,71,412,117,694,667,60,710,723,737
785,592,798,378,469,768,522,771,618,367
645,572,713,545,245,413,172,496,578,798
380,527,698,435,161,609,7,216,108,744
155,628,790,336,116,872,588,782,724,329
781,513,435,236,412,753,583,592,394,825
882,188,15,632,818,163,98,663,630,697
812,459,716,602,605,674,154,403,536,697
585,239,336,377,525,89,370,274,161,382
135,666,707,133,525,665,70,255,537,738
336,651,197,106,165,150,666,781,554,680
827,406,7,612,621,796,656,188,514,475
678,146,7,778,552,586,391,520,745,350
403,667,538,738,472,61,638,567,691,841
378,157,338,658,683,952,219,763,427,226
834,518,811,478,448,772,184,530,367,713
79,488,7,133,564,808,79,716,252,143
245,38,403,694,800,13,506,596,683,58
