road,id,model_type,name,lat,lon,length,condition
N1,200000,sourcesink,sourcesink,23.7060278,90.443333,0.0,
N1,200001,link,link 1,23.592875727776523,90.60132335027487,1800.0,
N1,200002,bridge,bridge 1,23.479723655553048,90.75931370054975,7.325,A
N1,200003,link,link 2,23.592391774060275,90.64126392345052,7176.0,
N1,200004,bridge,bridge 2,23.7050598925675,90.5232141463513,395.615,C
N1,200005,link,link 3,23.7007299897392,90.529156563228,1567.0,
N1,200006,bridge,bridge 3,23.6964000869109,90.5350989801047,8.0,B
N1,200007,link,link 4,23.695395350523498,90.5363365287958,337.0,
N1,200008,bridge,bridge 4,23.6943906141361,90.5375740774869,6.3,A
N1,200009,link,link 5,23.694346500525953,90.53764072472475,17.0,
N1,200010,bridge,bridge 5,23.6943023869158,90.5377073719626,6.3,A
N1,200011,link,link 6,23.693331269392452,90.5393128808411,399.0,
N1,200012,bridge,bridge 6,23.6923601518691,90.5409183897196,8.3,A
N1,200013,link,link 7,23.6916360416921,90.54319044273855,512.0,
N1,200014,bridge,bridge 7,23.6909119315151,90.5454624957575,10.6,B
N1,200015,link,link 8,23.68966212876775,90.54701051241955,431.0,
N1,200016,bridge,bridge 8,23.6884123260204,90.5485585290816,9.3,A
N1,200017,link,link 9,23.6883660295918,90.5486041683673,14.0,
N1,200018,bridge,bridge 9,23.6883197331632,90.548649807653,6.1,A
N1,200019,link,link 10,23.686896117821902,90.54996669322821,407.0,
N1,200020,bridge,bridge 10,23.6854725024806,90.5512835788034,27.1,A
N1,200021,link,link 11,23.6816380012403,90.55355150690166,914.0,
N1,200022,bridge,bridge 11,23.6778035,90.5558194349999,11.9,A
N1,200023,link,link 12,23.67055628480745,90.55983821489846,1891.0,
N1,200024,bridge,bridge 12,23.6633090696149,90.563856994797,5.55,B
N1,200025,link,link 13,23.65886738736425,90.5702936098985,1669.0,
N1,200026,bridge,bridge 13,23.6544257051136,90.576730225,159.51,C
N1,200027,link,link 14,23.6537987002854,90.57775098494837,88.0,
N1,200028,bridge,bridge 14,23.6531716954572,90.57877174489673,20.308333333333334,B
N1,200029,link,link 15,23.651463047406,90.58166037672251,871.0,
N1,200030,bridge,bridge 15,23.6497543993548,90.5845490085483,25.166666666666664,B
N1,200031,link,link 16,23.647861497135,90.5868804949521,649.0,
N1,200032,bridge,bridge 16,23.6459685949152,90.5892119813559,40.39833333333333,C
N1,200033,link,link 17,23.6419614832268,90.5914396895241,1018.0,
N1,200034,bridge,bridge 17,23.6379543715384,90.5936673976923,6.0,A
N1,200035,link,link 18,23.6358797957692,90.59553074134615,637.0,
N1,200036,bridge,bridge 18,23.63380522,90.597394085,10.4,B
N1,200037,link,link 19,23.6311360353846,90.59984782865385,787.0,
N1,200038,bridge,bridge 19,23.6284668507692,90.6023015723077,88.905,A
N1,200039,link,link 20,23.624175036860002,90.6053272287768,1144.0,
N1,200040,bridge,bridge 20,23.6198832229508,90.6083528852459,5.5,B
N1,200041,link,link 21,23.61876200971065,90.60895174791705,268.0,
N1,200042,bridge,bridge 21,23.6176407964705,90.6095506105882,221.14166666666665,B
N1,200043,link,link 22,23.615614090427748,90.61022678336894,485.0,
N1,200044,bridge,bridge 22,23.613587384385,90.6109029561497,119.05666666666667,B
N1,200045,link,link 23,23.60817348647165,90.61321732635861,1312.0,
N1,200046,bridge,bridge 23,23.6027595885583,90.6155316965675,912.425,C
N1,200047,link,link 24,23.5978707356738,90.6217508168297,1722.0,
N1,200048,bridge,bridge 24,23.5929818827893,90.6279699370919,5.6,A
N1,200049,link,link 25,23.59189536876805,90.62910339845101,337.0,
N1,200050,bridge,bridge 25,23.5908088547468,90.6302368598101,5.5,A
N1,200051,link,link 26,23.588563488643402,90.6323731402597,668.0,
N1,200052,bridge,bridge 26,23.58631812254,90.6345094207093,5.6,A
N1,200053,link,link 27,23.58214907369375,90.6382143648516,1195.0,
